Customer ID,Age,Gender,Subscription Status,Previous Purchases,Frequency of Purchases,Location
2701,22,Female,No,36,Weekly,California
521,51,Male,Yes,20,Quarterly,South Carolina
3157,18,Female,,18,Monthly,Montana
1687,22,Male,No,25,Annually,Illinois
2929,40,Female,No,17,Weekly,Alabama
3583,23,Female,No,15,Annually,California
1135,62,Male,No,2,Every 3 Months,Wisconsin
1411,61,Male,No,18,Annually,Tennessee
113,37,Male,Yes,28,Bi-Weekly,Florida
166,42,Male,Yes,7,Monthly,Kentucky
4568,35,Other,No,41,Monthly,Phoenix
947,46,Male,Yes,4,Quarterly,Pennsylvania
4776,64,Other,No,,Quarterly,Los Angeles
3855,57,Female,No,4,Annually,Florida
481,68,Male,Yes,30,Bi-Weekly,Vermont
3790,56,Female,,18,Every 3 Months,North Dakota
3617,42,Female,No,33,Fortnightly,Wisconsin
2659,52,Female,No,39,Monthly,Ohio
3725,30,Female,No,18,Annually,Colorado
2134,21,Male,No,13,Annually,Maine
4256,70,Male,Yes,25,Weekly,Los Angeles
833,58,Male,Yes,28,Bi-Weekly,California
1106,33,Male,No,6,Every 3 Months,Massachusetts
3047,60,Female,No,25,Every 3 Months,Pennsylvania
4685,68,Other,No,,Monthly,Phoenix
1612,41,Male,No,6,Monthly,Arkansas
4289,34,Female,No,36,Weekly,New York
3552,66,Female,No,20,Weekly,Montana
2918,58,Female,No,50,Annually,Colorado
1192,34,Male,No,50,Quarterly,Indiana
1907,23,Male,No,24,Fortnightly,Vermont
1332,38,Male,No,8,Bi-Weekly,Maryland
316,66,Male,Yes,24,Annually,Wisconsin
347,49,Male,Yes,5,Weekly,New Mexico
3115,21,Female,No,45,Bi-Weekly,Arkansas
5042,46,Other,Yes,31,Monthly,Los Angeles
1498,69,Male,No,16,Every 3 Months,Michigan
1606,70,Male,No,15,Bi-Weekly,Connecticut
4418,67,Female,No,47,Quarterly,Los Angeles
4894,24,Other,No,4,Quarterly,Los Angeles
4576,65,Male,No,47,Weekly,New York
2486,43,Male,No,37,Annually,Louisiana
187,39,Male,Yes,31,Annually,Minnesota
275,59,Male,,28,Bi-Weekly,Maryland
1402,23,Male,No,1,Weekly,Indiana
1181,23,Male,No,34,Monthly,Oregon
2130,40,Male,No,12,Every 3 Months,Minnesota
995,53,Male,Yes,20,Monthly,New York
1230,34,Male,No,39,Annually,Kansas
4319,47,Other,Yes,28,Monthly,Houston
4489,36,Female,No,0,Monthly,Los Angeles
4708,33,Female,Yes,31,Quarterly,New York
4827,20,Female,No,17,Monthly,Houston
1348,44,Male,No,47,Monthly,Vermont
4584,55,Female,No,,Quarterly,New York
3116,26,Female,No,9,Bi-Weekly,South Dakota
1168,60,Male,No,16,Quarterly,New Jersey
3685,29,Female,No,47,Bi-Weekly,Pennsylvania
4111,49,Male,No,,Weekly,Houston
2850,56,Female,No,27,Bi-Weekly,New Hampshire
1636,68,Male,No,40,Annually,North Carolina
1489,23,Male,No,37,Weekly,Hawaii
3827,50,Female,No,25,Annually,Montana
2417,59,Male,No,26,Every 3 Months,Nebraska
2832,34,Female,No,4,Weekly,Virginia
4607,47,Other,No,27,Weekly,Los Angeles
2367,30,Male,No,32,Fortnightly,New Mexico
4851,42,Female,No,,Weekly,Chicago
508,65,Male,Yes,33,Fortnightly,Maine
4845,19,Female,No,41,Weekly,New York
2098,33,Male,No,5,Weekly,Iowa
1080,18,Male,No,48,Monthly,Oklahoma
4558,41,Other,No,,Monthly,Los Angeles
4492,59,Female,Yes,38,Weekly,Phoenix
4292,27,Other,Yes,,Weekly,Houston
3036,69,Female,No,18,Bi-Weekly,Kentucky
3554,62,Female,No,32,Weekly,Minnesota
2077,59,Male,No,22,Bi-Weekly,Florida
3088,62,Female,No,29,Monthly,North Carolina
3739,34,Female,No,48,Fortnightly,Delaware
3309,55,Female,No,29,Monthly,Utah
2922,20,Female,No,11,Fortnightly,Wisconsin
4156,51,Other,Yes,7,Monthly,Chicago
4869,26,Female,No,,Monthly,Phoenix
660,62,Male,Yes,8,Weekly,Virginia
