Item Purchased,Size,Color,Category,Season,Review Rating,Purchase Amount (USD),Discount Applied,Shipping Type,Payment Method,Customer ID
T-shirt,XL,Olive,Clothing,Winter,3.2,68,No,Standard,Cash,2701
Sunglasses,M,White,Accessories,Spring,3.9,84,Yes,Free Shipping,Debit Card,521
Shirt,M,Black,Clothing,Winter,3.1,50,No,2-Day Shipping,Cash,3157
Gloves,L,Red,Accessories,Fall,4.2,75,No,Store Pickup,Cash,1687
,L,Yellow,Accessories,Spring,3.6,80,No,Store Pickup,Credit Card,2929
Shorts,S,Beige,Clothing,Summer,3.4,41,No,2-Day Shipping,PayPal,3583
T-shirt,M,Brown,Clothing,Summer,,81,Yes,Express,Venmo,1135
Hat,M,Purple,Accessories,Summer,4,93,Yes,Store Pickup,Debit Card,1411
Gloves,M,Red,Accessories,Spring,4.3,65,Yes,Free Shipping,PayPal,113
Handbag,S,Yellow,Accessories,Winter,2.8,60,Yes,Store Pickup,,166
Shoes,M,Blue,Clothing,Autumn,,,Yes,Express,Credit Card,4568
Coat,XL,Blue,Outerwear,Spring,2.8,24,Yes,Next Day Air,PayPal,947
Laptop,,Black,Electronics,Spring,,884.04,No,Express,Credit Card,4776
,M,Black,Clothing,Spring,4.2,20,No,Free Shipping,Venmo,3855
Hoodie,M,Gray,Clothing,Summer,4.8,88,Yes,Standard,Debit Card,481
Shirt,M,Magenta,Clothing,Summer,3.8,75,No,Express,Bank Transfer,3790
Hoodie,L,Purple,Clothing,Winter,3.3,23,No,Store Pickup,Debit Card,3617
Handbag,XL,Indigo,Accessories,Summer,3.2,47,No,Next Day Air,PayPal,2659
Gloves,L,Green,Accessories,Winter,3.1,71,No,Express,Bank Transfer,3725
Hat,M,Olive,Accessories,Summer,3.8,34,No,Standard,Bank Transfer,2134
Phone,,Green,Electronics,Autumn,,,Yes,Standard,Cash,4256
Jacket,L,Blue,Outerwear,Fall,2.5,80,Yes,Express,Cash,833
T-shirt,S,Olive,Clothing,Spring,3,83,Yes,Next Day Air,Venmo,1106
Shoes,M,White,Footwear,Spring,3.2,49,No,Store Pickup,Cash,3047
